1,1715,1028,2672,1028,2672,1137,1715,1137,AEON CO. (M) BHD (126926-H),other
1,1678,1133,2706,1133,2706,1236,1678,1236,3RD FLR\, AEON TAMAN MALURI SC,address
1,1742,1234,2598,1234,2598,1330,1742,1330,JLN JEJAKA\, TAMAN MALURI,other
1,1698,1332,2637,1332,2637,1428,1698,1428,CHERAS\, 55100 KUALA LUMPUR,address
1,1806,1435,2555,1435,2555,1527,1806,1527,GST ID : 002017394688,other
1,1947,1534,2442,1534,2442,1627,1947,1627,SHOPPING HOURS,other
1,1696,1623,2656,1623,2656,1729,1696,1729,SUN-THU:1000 HRS - 2230 HRS,other
1,1697,1728,2652,1728,2652,1829,1697,1829,FRI-SAT:1000 HRS - 2300 HRS,other
1,1376,1818,2335,1818,2335,1923,1376,1923,VALUED CUSTOMER: 1170008317,other
1,1475,2026,2001,2026,2001,2115,1475,2115,1X 000001048211,other
1,1568,2122,2084,2122,2084,2218,1568,2218,NATUREL PREMIU,other
1,1470,2226,2003,2226,2003,2318,1470,2318,1X 000005043675,other
1,1562,2324,2070,2324,2070,2418,1562,2418,JOY DISHWASHIN,other
1,1465,2420,2001,2420,2001,2516,1465,2516,1X 000001427416,other
1,1565,2525,2074,2525,2074,2608,1565,2608,303027 COOK KN,other
1,1559,2617,2024,2617,2024,2709,1559,2709,6% OFF @43.15,other
1,1458,2720,1989,2720,1989,2803,1458,2803,1X 000006783617,other
1,1537,2815,2097,2815,2097,2911,1537,2911,CED NATURAL HIM,other
1,1447,2914,1978,2914,1978,3013,1447,3013,1X 000007787980,other
1,1543,3016,2072,3016,2072,3112,1543,3112,BL 5004C 4 GALL,other
1,1541,3118,1964,3118,1964,3214,1541,3214,6% OFF @4.61,other
1,1443,3217,1970,3217,1970,3309,1443,3309,1X 000004820628,other
1,1529,3315,2028,3315,2028,3407,1529,3407,KLEENEX FT SOF,other
1,1435,3411,1959,3411,1959,3505,1435,3505,1X 000003596418,other
1,1530,3515,1990,3515,1990,3600,1530,3600,ONWARDS TOM &,other
1,1312,3704,1630,3704,1630,3800,1312,3800,SUB-TOTAL,other
1,1309,3805,2016,3805,2016,3906,1309,3906,TOTAL SALES INCL GST,other
1,1307,3904,2157,3904,2157,4009,1307,4009,TOTAL AFTER ADJ INCL GST,other
1,1300,4009,1453,4009,1453,4094,1300,4094,CASH,other
1,1300,4105,1724,4105,1724,4199,1300,4199,ITEM COUNT 7,other
1,2537,3736,2723,3736,2723,3823,2537,3823,99.90,total
1,2534,3835,2724,3835,2724,3920,2534,3920,99.90,total
1,2532,3933,2718,3933,2718,4022,2532,4022,99.90,total
1,2484,4038,2716,4038,2716,4120,2484,4120,100.00,other
1,2557,4141,2711,4141,2711,4220,2557,4220,0.10,other
1,1432,4212,2533,4212,2533,4308,1432,4308,INVOICE NO: 2018052710100070177,other
1,1287,4304,1685,4304,1685,4400,1287,4400,GST SUMMARY,other
1,1285,4403,1544,4403,1544,4486,1285,4486,SR @ 6%,other
1,1280,4499,1541,4499,1541,4590,1280,4590,ZR @ 0%,other
1,1275,4597,1460,4597,1460,4686,1275,4686,TOTAL,other
1,1275,4696,1845,4696,1845,4797,1275,4797,27/05/2018 13:48,date
1,1269,4804,1841,4804,1841,4900,1269,4900,0300892 PJ HANIF,other
1,2125,4721,2693,4721,2693,4817,2125,4817,1010 007 0070177,other
1,1617,5007,2251,5007,2251,5106,1617,5106,REGULAR STAMP(S) :,other
1,1610,5106,2105,5106,2105,5207,1610,5207,BONUS STAMP(S),other
1,1607,5202,2102,5202,2102,5309,1607,5309,TOTAL STAMP(S),other
1,2530,2044,2784,2044,2784,2136,2530,2136,11.25SR,other
1,2528,2246,2771,2246,2771,2333,2528,2333,10.50SR,other
1,2509,2448,2775,2448,2775,2531,2509,2531,45.90SR,other
1,2509,2642,2694,2642,2694,2729,2509,2729,-2.75,other
1,2535,2741,2762,2741,2762,2824,2535,2824,4.59ZR,other
1,2530,2938,2759,2938,2759,3030,2530,3030,4.90SR,other
1,2485,3144,2680,3144,2680,3226,2485,3226,-0.29,other
1,2496,3238,2741,3238,2741,3325,2496,3325,12.15SR,other
1,2482,3434,2738,3434,2738,3528,2482,3528,13.65SR,other
1,1928,4117,2288,4117,2288,4218,1928,4218,CHANGE AMT,other
1,1989,4323,2207,4323,2207,4401,1989,4401,AMOUNT,other
1,2589,4332,2710,4332,2710,4417,2589,4417,TAX,other
1,2017,4417,2211,4417,2211,4504,2017,4504,89.92,other
1,2553,4430,2700,4430,2700,4513,2553,4513,5.39,other
1,2052,4520,2205,4520,2205,4598,2052,4598,4.59,other
1,2546,4531,2699,4531,2699,4618,2546,4618,0.00,other
1,2019,4613,2198,4613,2198,4712,2019,4712,94.51,other
1,2542,4629,2693,4629,2693,4716,2542,4716,5.39,other
1,2352,5028,2400,5028,2400,5106,2352,5106,3,other
1,2219,5142,2246,5142,2246,5202,2219,5202,:,other
1,2351,5127,2399,5127,2399,5209,2351,5209,0,other
1,2216,5236,2252,5236,2252,5303,2216,5303,:,other
1,2344,5222,2394,5222,2394,5304,2344,5304,3,other
